xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000082e-05,9.999999999833333320e-01,-3.333333333183333953e-06,9.999999999249999938e-01,3.333333333183334649e-16
7.971103587076117103e-03,9.999894104026578745e-01,-2.656958560027959399e-03,9.999523476950517020e-01,1.688191412625518973e-07
1.593220717415223461e-02,9.999576965451544286e-01,-5.310129158218466344e-03,9.998096485456586802e-01,1.347897831992474976e-06
2.389331076122835212e-02,9.999048638369348874e-01,-7.962391282502031403e-03,9.995719585363114223e-01,4.545651941078634724e-06
3.185441434830447310e-02,9.998309213156704178e-01,-1.061329151219445911e-02,9.992393710161604492e-01,1.076934630960013356e-05
3.981551793538059408e-02,9.997358816263675063e-01,-1.326237706325121904e-02,9.988120165460628863e-01,2.102452101187339868e-05
4.777662152245670812e-02,9.996197610154595736e-01,-1.590919599946866159e-02,9.982900627896144075e-01,3.631441930874579739e-05
5.573772510953282217e-02,9.994825793232171574e-01,-1.855329744284618318e-02,9.976737143733110935e-01,5.763941785306428493e-05
6.369882869660893621e-02,9.993243599744870975e-01,-2.119423178303223715e-02,9.969632127160539259e-01,8.599645970362338821e-05
7.165993228368505719e-02,9.991451299677788223e-01,-2.383155088593395463e-02,9.961588358282829070e-01,1.223784907010597005e-04
7.962103587076117817e-02,9.989449198626743076e-01,-2.646480830028205902e-02,9.952608980808759220e-01,1.677738997485109880e-04
8.758213945783728527e-02,9.987237637656194433e-01,-2.909355946339356805e-02,9.942697499443445830e-01,2.231659635428219414e-04
9.554324304491340625e-02,9.984816993141059083e-01,-3.171736190548126583e-02,9.931857776986816599e-01,2.895322962920271600e-04
1.035043466319895272e-01,9.982187676590957848e-01,-3.433577544921733588e-02,9.920094031135400225e-01,3.678443049154416747e-04
1.114654502190656343e-01,9.979350134461353328e-01,-3.694836241316443864e-02,9.907410831011221886e-01,4.590666503203782219e-04
1.194265538061417553e-01,9.976304847945991483e-01,-3.955468780685662822e-02,9.893813093396873759e-01,5.641567151622223133e-04
1.273876573932178902e-01,9.973052332754775984e-01,-4.215431952618264866e-02,9.879306078699688909e-01,6.840640786549386431e-04
