xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000082e-05,9.999999999833333320e-01,-3.333333333166666886e-06,9.999999999166666598e-01,3.333333333166667498e-16
1.001249812453113182e-02,9.999832920656263058e-01,-3.337332089472817322e-03,9.999164631196355568e-01,3.345679380900753848e-07
2.001499624906226404e-02,9.999332400067985072e-01,-6.670329304541870903e-03,9.996662445999840996e-01,2.672134418673465227e-06
3.001749437359339454e-02,9.998498588255837483e-01,-1.000132527262466604e-02,9.992495195177985012e-01,9.011693821543779033e-06
4.001999249812453197e-02,9.997331735326271396e-01,-1.332932195516320015e-02,9.986665794368272397e-01,2.134823937152604536e-05
5.002249062265566593e-02,9.995832191096530872e-01,-1.665332381068921480e-02,9.979178318875471243e-01,4.167077231262118303e-05
6.002498874718679295e-02,9.994000404803575766e-01,-1.997233862073106297e-02,9.970037997571248312e-01,7.196032155257144373e-05
7.002748687171791997e-02,9.991836924730591596e-01,-2.328537831001980390e-02,9.959251205077707114e-01,1.141879772207665699e-04
8.002998499624905393e-02,9.989342397751739266e-01,-2.659145975995378525e-02,9.946825452255044775e-01,1.703129415434711646e-04
9.003248312078018789e-02,9.986517568796252631e-01,-2.988960561485994732e-02,9.932769375019419034e-01,2.422806003989433896e-04
1.000349812453113219e-01,9.983363280231700720e-01,-3.317884507712378500e-02,9.917092721514192410e-01,3.320206188355344476e-04
1.100374793698424558e-01,9.979880471168940392e-01,-3.645821469376504809e-02,9.899806337674699197e-01,4.414450638082333274e-04
1.200399774943735759e-01,9.976070176689370017e-01,-3.972675913116337221e-02,9.880922151220413729e-01,5.724465572895763577e-04
1.300424756189047237e-01,9.971933526991703101e-01,-4.298353193092698671e-02,9.860453154094870332e-01,7.268964627342014212e-04
1.400449737434358577e-01,9.967471746471089356e-01,-4.622759626428034341e-02,9.838413383454067684e-01,9.066431081367019038e-04
1.500474718679669917e-01,9.962686152717035171e-01,-4.945802565850673099e-02,9.814817901176295933e-01,1.113510048233123072e-03
1.600499699924981256e-01,9.957578155439409384e-01,-5.267390470976973660e-02,9.789682771982409770e-01,1.349294368776275373e-03
1.700524681170292596e-01,9.952149255330352551e-01,-5.587432978592813543e-02,9.763025040250429276e-01,1.615765035727157687e-03
1.800549662415603935e-01,9.946401042849882801e-01,-5.905840970181525790e-02,9.734862705512243863e-01,1.914661291544245353e-03
1.900574643660915275e-01,9.940335196951044505e-01,-6.222526638204045613e-02,9.705214696760566806e-01,2.247691101354291291e-03
2.000599624906226615e-01,9.933953483732380629e-01,-6.537403549620855736e-02,9.674100845558433193e-01,2.616529650896868339e-03
2.100624606151537954e-01,9.927257755027972808e-01,-6.850386707306749257e-02,9.641541858055832082e-01,3.022817898523036482e-03
2.200649587396849294e-01,9.920249946958296094e-01,-7.161392611387303042e-02,9.607559286081912564e-01,3.468161184265357300e-03
2.300674568642160633e-01,9.912932078382902246e-01,-7.470339314473652126e-02,9.572175497083191820e-01,3.954127895347021339e-03
2.400699549887471695e-01,9.905306249336490731e-01,-7.777146478197489998e-02,9.535413643362814495e-01,4.482248192964969832e-03
2.500724531132783035e-01,9.897374639385478901e-01,-8.081735425154852603e-02,9.497297630374778032e-01,5.054012799429956349e-03
2.600749512378094375e-01,9.889139505925678142e-01,-8.384029187839525665e-02,9.457852084234781298e-01,5.670871847468512104e-03
2.700774493623405714e-01,9.880603182483623792e-01,-8.683952559048740971e-02,9.417102318807838435e-01,6.334233796021854213e-03
2.800799474868717054e-01,9.871768076908795653e-01,-8.981432134967648473e-02,9.375074301892644124e-01,7.045464408267029105e-03
2.900824456114028393e-01,9.862636669545058465e-01,-9.276396357499684664e-02,9.331794620989580791e-01,7.805885796581754806e-03
3.000849437359339733e-01,9.853211511381051446e-01,-9.568775555176277370e-02,9.287290448710219248e-01,8.616775535351565291e-03
3.100874418604651073e-01,9.843495222140679068e-01,-9.858501980054934499e-02,9.241589507704899287e-01,9.479365840299753404e-03
3.200899399849962412e-01,9.833490488320946188e-01,-1.014550984096922459e-01,9.194720035206072062e-01,1.039484281466156700e-02
3.300924381095273752e-01,9.823200061221730728e-01,-1.042973533552977589e-01,9.146710747457929003e-01,1.136434576470647315e-02
3.400949362340585092e-01,9.812626754991662370e-01,-1.071111668213915458e-01,9.097590804200849091e-01,1.238896658688034245e-02
3.500974343585896431e-01,9.801773444539095825e-01,-1.098959414304419707e-01,9.047389772565833654e-01,1.346974921691664745e-02
3.600999324831207771e-01,9.790643063483467357e-01,-1.126511004857492643e-01,8.996137591257229449e-01,1.460768915096588919e-02
3.701024306076519110e-01,9.779238602088854426e-01,-1.153760881875668942e-01,8.943864534804859545e-01,1.580373303509516325e-02
3.801049287321830450e-01,9.767563105173791005e-01,-1.180703698192227258e-01,8.890601177912776931e-01,1.705877832225738758e-02
3.901074268567141790e-01,9.755619669981240305e-01,-1.207334318966219178e-01,8.836378359885666001e-01,1.837367299501332929e-02
4.001099249812453129e-01,9.743411444029597135e-01,-1.233647822890219237e-01,8.781227149282256894e-01,1.974921535402560102e-02
4.101124231057764469e-01,9.730941622971134297e-01,-1.259639503219139867e-01,8.725178808964919597e-01,2.118615387314547183e-02
4.201149212303075808e-01,9.718213448484284145e-01,-1.285304868728460170e-01,8.668264761708122101e-01,2.268518712247203847e-02
4.301174193548387148e-01,9.705230206135475601e-01,-1.310639644315054197e-01,8.610516556119326426e-01,2.424696375408988067e-02
4.401199174793698488e-01,9.691995223114187041e-01,-1.335639770797137360e-01,8.551965832494741182e-01,2.587208254011962028e-02
4.501224156039009827e-01,9.678511866141152886e-01,-1.360301405247401896e-01,8.492644289988307005e-01,2.756109248537141898e-02
4.601249137284321167e-01,9.664783539298351656e-01,-1.384620920716302939e-01,8.432583654006867713e-01,2.931449299371565939e-02
4.701274118529632506e-01,9.650813681879745198e-01,-1.408594905795655661e-01,8.371815644311090265e-01,3.113273409428812463e-02
4.801299099774943291e-01,9.636605766230303960e-01,-1.432220163890418896e-01,8.310371943713485976e-01,3.301621672330501411e-02
4.901324081020254630e-01,9.622163295587499166e-01,-1.455493712245239379e-01,8.248284167469357442e-01,3.496529306044095925e-02
5.001349062265565415e-01,9.607489801939872454e-01,-1.478412780774180091e-01,8.185583833453431435e-01,3.698026691897465107e-02
5.101374043510876755e-01,9.592588843917307928e-01,-1.500974810742053134e-01,8.122302333209843184e-01,3.906139418916123457e-02
5.201399024756188094e-01,9.577464004727599400e-01,-1.523177453345783416e-01,8.058470903957714038e-01,4.120888333457902591e-02
5.301424006001499434e-01,9.562118890065778309e-01,-1.545018567953327371e-01,7.994120601260771286e-01,4.342289593334679870e-02
5.401448987246810773e-01,9.546557125938006649e-01,-1.566496219799954348e-01,7.929282272146753741e-01,4.570354725520820588e-02
5.501473968492122113e-01,9.530782356701681390e-01,-1.587608678151865016e-01,7.863986529957893712e-01,4.805090690016929067e-02
5.601498949737433453e-01,9.514798243017021928e-01,-1.608354413923357151e-01,7.798263729660724897e-01,5.046499946954435128e-02
5.701523930982744792e-01,9.498608459846413776e-01,-1.628732097202776063e-01,7.732143944202956032e-01,5.294580527911256496e-02
5.801548912228056132e-01,9.482216694471189422e-01,-1.648740594594280962e-01,7.665656941799786628e-01,5.549326110952030461e-02
5.901573893473367471e-01,9.465626644532907363e-01,-1.668378966398379737e-01,7.598832164186801741e-01,5.810726099217953383e-02
6.001598874718678811e-01,9.448842016106653308e-01,-1.687646463655510243e-01,7.531698705874847466e-01,6.078765702907609064e-02
6.101623855963990151e-01,9.431866521813854209e-01,-1.706542525076941152e-01,7.464285294438531837e-01,6.353426024504615910e-02
6.201648837209301490e-01,9.414703878982103591e-01,-1.725066773887274363e-01,7.396620271866385377e-01,6.634684147124191023e-02
6.301673818454612830e-01,9.397357807816083541e-01,-1.743219014489541252e-01,7.328731576827833827e-01,6.922513225418794325e-02
6.401698799699924169e-01,9.379832029552073180e-01,-1.760999228882041412e-01,7.260646727751177698e-01,7.216882578462041620e-02
6.501723780945235509e-01,9.362130264742654084e-01,-1.778407573219338844e-01,7.192392807280383327e-01,7.517757785905274104e-02
6.601748762190546849e-01,9.344256231523621059e-01,-1.795444374135246324e-01,7.123996447519732600e-01,7.825100785722868824e-02
6.701773743435858188e-01,9.326213643929438524e-01,-1.812110125005823025e-01,7.055483816318948165e-01,8.138869973979662165e-02
6.801798724681169528e-01,9.308006210242393275e-01,-1.828405482120552539e-01,6.986880604529773775e-01,8.459020306261971767e-02
